i,S,V,Ip,Im,P,I(e1=e2=0.10),I(e1=e2=0.50),I(e1=e2=0.90),,i,I(x = y = 0.10),I(x = y = 0.50),I(x = y = 0.90),,,,,,,I(x = y = 0.10),I(x = y = 0.50),I(x = y = 0.90),,Im(e1 = e2 = 0.10),Im(e1 = e2 = 0.50),Im(e1 = e2 = 0.90)
62,4.08E-05,0.0431275,1.89E-07,3.98E-05,0.956792,4.00E-05,0.00113099,3.94E-05,,62,5.36E-05,1.06E-06,4.89E-07,,,,,,,5.36E-05,1.06E-06,4.89E-07,,4.90E-05,0.0066256,1.99E-06
63,3.67E-05,0.0431304,1.40E-07,3.26E-05,0.9568,3.28E-05,0.000990613,3.37E-05,,63,4.50E-05,9.20E-07,4.23E-07,,,,,,,4.50E-05,9.20E-07,4.23E-07,,4.02E-05,0.00595839,1.72E-06
64,3.31E-05,0.0431331,1.03E-07,2.67E-05,0.956807,2.68E-05,0.000867673,2.88E-05,,64,3.79E-05,7.95E-07,3.66E-07,,,,,,,3.79E-05,7.95E-07,3.66E-07,,3.30E-05,0.00535666,1.49E-06
65,2.98E-05,0.0431356,7.63E-08,2.19E-05,0.956813,2.20E-05,0.000760004,2.47E-05,,65,3.18E-05,6.87E-07,3.17E-07,,,,,,,3.18E-05,6.87E-07,3.17E-07,,2.70E-05,0.00481432,1.29E-06
66,2.68E-05,0.0431379,5.64E-08,1.79E-05,0.956817,1.80E-05,0.000665706,2.11E-05,,66,2.67E-05,5.94E-07,2.74E-07,,,,,,,2.67E-05,5.94E-07,2.74E-07,,2.22E-05,0.00432578,1.11E-06
67,2.41E-05,0.04314,4.17E-08,1.47E-05,0.956821,1.47E-05,0.000583119,1.80E-05,,67,2.25E-05,5.14E-07,2.37E-07,,,,,,,2.25E-05,5.14E-07,2.37E-07,,1.82E-05,0.00388593,9.60E-07
68,2.17E-05,0.043142,3.08E-08,1.20E-05,0.956824,1.21E-05,0.000510786,1.54E-05,,68,1.89E-05,4.44E-07,2.05E-07,,,,,,,1.89E-05,4.44E-07,2.05E-07,,1.49E-05,0.00349008,8.29E-07
69,1.95E-05,0.0431438,2.28E-08,9.85E-06,0.956827,9.87E-06,0.000447433,1.32E-05,,69,1.59E-05,3.84E-07,1.78E-07,,,,,,,1.59E-05,3.84E-07,1.78E-07,,1.22E-05,0.00313398,7.17E-07
70,1.76E-05,0.0431455,1.68E-08,8.07E-06,0.956829,8.08E-06,0.000391945,1.13E-05,,70,1.33E-05,3.32E-07,1.54E-07,,,,,,,1.33E-05,3.32E-07,1.54E-07,,1.00E-05,0.00281375,6.19E-07
71,1.58E-05,0.043147,1.24E-08,6.61E-06,0.956831,6.62E-06,0.000343343,9.66E-06,,71,1.12E-05,2.87E-07,1.33E-07,,,,,,,1.12E-05,2.87E-07,1.33E-07,,8.23E-06,0.00252587,5.35E-07
72,1.42E-05,0.0431484,9.18E-09,5.41E-06,0.956832,5.42E-06,0.000300772,8.26E-06,,72,9.41E-06,2.48E-07,1.15E-07,,,,,,,9.41E-06,2.48E-07,1.15E-07,,6.75E-06,0.00226714,4.62E-07
73,1.28E-05,0.0431496,6.79E-09,4.43E-06,0.956833,4.44E-06,0.000263483,7.07E-06,,73,7.91E-06,2.15E-07,9.96E-08,,,,,,,7.91E-06,2.15E-07,9.96E-08,,5.54E-06,0.00203467,3.99E-07
74,1.15E-05,0.0431508,5.02E-09,3.63E-06,0.956834,3.63E-06,0.00023082,6.04E-06,,74,6.65E-06,1.86E-07,8.62E-08,,,,,,,6.65E-06,1.86E-07,8.62E-08,,4.54E-06,0.00182584,3.45E-07
75,1.04E-05,0.0431518,3.71E-09,2.97E-06,0.956835,2.98E-06,0.000202209,5.17E-06,,75,5.58E-06,1.60E-07,7.46E-08,,,,,,,5.58E-06,1.60E-07,7.46E-08,,3.72E-06,0.00163829,2.98E-07
76,9.34E-06,0.0431528,2.74E-09,2.43E-06,0.956835,2.44E-06,0.000177147,4.42E-06,,76,4.69E-06,1.39E-07,6.45E-08,,,,,,,4.69E-06,1.39E-07,6.45E-08,,3.05E-06,0.00146988,2.57E-07
77,8.40E-06,0.0431536,2.03E-09,1.99E-06,0.956836,2.00E-06,0.000155193,3.78E-06,,77,3.94E-06,1.20E-07,5.58E-08,,,,,,,3.94E-06,1.20E-07,5.58E-08,,2.50E-06,0.00131867,2.22E-07
78,7.56E-06,0.0431544,1.50E-09,1.63E-06,0.956836,1.63E-06,0.000135961,3.23E-06,,78,3.31E-06,1.04E-07,4.83E-08,,,,,,,3.31E-06,1.04E-07,4.83E-08,,2.05E-06,0.00118295,1.92E-07
79,6.81E-06,0.0431551,1.11E-09,1.34E-06,0.956837,1.34E-06,0.000119113,2.77E-06,,79,2.78E-06,8.97E-08,4.18E-08,,,,,,,2.78E-06,8.97E-08,4.18E-08,,1.68E-06,0.00106112,1.66E-07
80,6.13E-06,0.0431558,8.18E-10,1.10E-06,0.956837,1.10E-06,0.000104354,2.37E-06,,80,2.34E-06,7.75E-08,3.62E-08,,,,,,,2.34E-06,7.75E-08,3.62E-08,,1.38E-06,0.000951792,1.43E-07
,,,,,,,,,,,1.96E-06,6.71E-08,3.13E-08,,,,,,,1.96E-06,6.71E-08,3.13E-08,,,,
,,,,,,,,,,,1.65E-06,5.80E-08,2.71E-08,,,,,,,1.65E-06,5.80E-08,2.71E-08,,,,
,,,,,,,,,,,1.39E-06,5.01E-08,2.35E-08,,,,,,,1.39E-06,5.01E-08,2.35E-08,,,,
,,,,,,,,,,,1.17E-06,4.34E-08,2.03E-08,,,,,,,1.17E-06,4.34E-08,2.03E-08,,,,
,,,,,,,,,,,9.79E-07,3.75E-08,1.76E-08,,,,,,,9.79E-07,3.75E-08,1.76E-08,,,,
,,,,,,,,,,,8.22E-07,3.24E-08,1.52E-08,,,,,,,8.22E-07,3.24E-08,1.52E-08,,,,
,,,,,,,,,,,6.91E-07,2.80E-08,1.32E-08,,,,,,,6.91E-07,2.80E-08,1.32E-08,,,,
,,,,,,,,,,,5.80E-07,2.42E-08,1.14E-08,,,,,,,5.80E-07,2.42E-08,1.14E-08,,,,
,,,,,,,,,,,4.88E-07,2.10E-08,9.85E-09,,,,,,,4.88E-07,2.10E-08,9.85E-09,,,,
