Betapv,Betamv,V,Rs,Rv,P
0.03,0.79 ,0.052304, 0.0234804,0.924216,0.947696
0.03,0.8 ,0.0510776, 0.023992,0.92493,0.948922
0.03,0.81 ,0.049937, 0.0245013,0.925562,0.950063
0.03,0.82 ,0.0488772, 0.0250079,0.926115,0.951123
0.03,0.83 ,0.0478932, 0.0255119,0.926595,0.952107
0.03,0.84 ,0.0469806, 0.0260132,0.927006,0.953019
0.03,0.85 ,0.0461352, 0.0265115,0.927353,0.953865
0.03,0.86 ,0.0453528, 0.0270068,0.92764,0.954647
0.03,0.87 ,0.0446297, 0.0274991,0.927871,0.95537
0.03,0.88 ,0.0439624, 0.0279883,0.928049,0.956038
0.03,0.89 ,0.0433476, 0.0284742,0.928178,0.956652
0.03,0.9 ,0.042782, 0.0289569,0.928261,0.957218
0.03,0.91 ,0.0422628, 0.0294363,0.928301,0.957737
0.03,0.92 ,0.041787, 0.0299123,0.928301,0.958213
0.03,0.93 ,0.0413522, 0.0303849,0.928263,0.958648
0.03,0.94 ,0.0409557, 0.0308542,0.92819,0.959044
0.03,0.95 ,0.0405953, 0.0313199,0.928085,0.959405
0.03,0.96 ,0.0402686, 0.0317822,0.927949,0.959731
0.03,0.97 ,0.0399737, 0.032241,0.927785,0.960026
0.03,0.98 ,0.0397085, 0.0326962,0.927595,0.960291
0.03,0.99 ,0.0394713, 0.033148,0.927381,0.960529
0.03,1 ,0.0392601, 0.0335962,0.927144,0.96074
0.04,0 ,0.99452, 0.00339549,0.00208451,0.00548
0.04,0.01 ,0.994473, 0.00340152,0.00212574,0.00552726
0.04,0.02 ,0.994422, 0.00340777,0.00216999,0.00557776
0.04,0.03 ,0.994368, 0.00341426,0.00221768,0.00563194
0.04,0.04 ,0.99431, 0.00342101,0.00226925,0.00569027
0.04,0.05 ,0.994247, 0.00342804,0.00232529,0.00575333
0.04,0.06 ,0.994178, 0.00343537,0.00238647,0.00582184
0.04,0.07 ,0.994103, 0.00344302,0.00245364,0.00589665
0.04,0.08 ,0.994021, 0.00345102,0.00252784,0.00597885
0.04,0.09 ,0.99393, 0.0034594,0.00261039,0.00606978
0.04,0.1 ,0.993829, 0.00346819,0.00270299,0.00617118
0.04,0.11 ,0.993715, 0.00347744,0.00280783,0.00628527
0.04,0.12 ,0.993585, 0.00348719,0.00292786,0.00641505
0.04,0.13 ,0.993435, 0.0034975,0.00306707,0.00656457
0.04,0.14 ,0.99326, 0.00350842,0.00323109,0.0067395
0.04,0.15 ,0.993052, 0.00352002,0.00342805,0.00694807
0.04,0.16 ,0.992797, 0.00353239,0.00367028,0.00720267
0.04,0.17 ,0.992477, 0.00354563,0.00397731,0.00752294
0.04,0.18 ,0.992058, 0.00355986,0.00438227,0.00794213
0.04,0.19 ,0.991479, 0.00357522,0.0049461,0.00852131
0.04,0.2 ,0.990614, 0.00359188,0.00579444,0.00938632
