i,S,V,Ip,Im,Rs,Rv,P,I (A=0.10),I (A=0.50),I (A=0.90),,,I (A = 0.10),I (A = 0.50),I (A = 0.90),,,,,,,Ip(e1 = 0.10),Ip(e1 = 0.50),Ip(e1 = 0.90),,Im(e1 = 0.10),Im(e1 = 0.50),Im(e1 = 0.90)
65,2.98E-05,0.0431356,7.63E-08,2.19E-05,0.275563,0.681249,0.956813,0.000919365,0.00426195,0.00582829,,,0.000474721,0.00303355,0.00554354,,,,,,,2.83E-06,0.0113438,1.01E-09,,6.43E-09,1.06E-07,3.80E-07
66,2.68E-05,0.0431379,5.64E-08,1.79E-05,0.275564,0.681254,0.956817,0.000801087,0.0037967,0.00519209,,,0.000407742,0.00269118,0.00493846,,,,,,,2.17E-06,0.0103333,7.95E-10,,5.12E-09,8.78E-08,3.28E-07
67,2.41E-05,0.04314,4.17E-08,1.47E-05,0.275564,0.681257,0.956821,0.000698002,0.00338161,0.00462416,,,0.000350201,0.00238714,0.00439836,,,,,,,1.67E-06,0.0094028,6.27E-10,,4.07E-09,7.26E-08,2.84E-07
68,2.17E-05,0.043142,3.08E-08,1.20E-05,0.275564,0.68126,0.956824,0.000608163,0.00301141,0.00411741,,,0.000300769,0.00211722,0.00391648,,,,,,,1.28E-06,0.00854788,4.95E-10,,3.24E-09,6.00E-08,2.46E-07
69,1.95E-05,0.0431438,2.28E-08,9.85E-06,0.275564,0.681263,0.956827,0.000529873,0.00268134,0.00366546,,,0.000258307,0.00187763,0.00348673,,,,,,,9.84E-07,0.00776391,3.90E-10,,2.57E-09,4.96E-08,2.13E-07
70,1.76E-05,0.0431455,1.68E-08,8.07E-06,0.275564,0.681265,0.956829,0.00046165,0.00238713,0.00326253,,,0.000221832,0.00166501,0.0031036,,,,,,,7.56E-07,0.00704627,3.08E-10,,2.05E-09,4.10E-08,1.84E-07
71,1.58E-05,0.043147,1.24E-08,6.61E-06,0.275564,0.681266,0.956831,0.000402203,0.00212496,0.00290343,,,0.000190503,0.00147635,0.00276215,,,,,,,5.80E-07,0.00639039,2.43E-10,,1.63E-09,3.39E-08,1.59E-07
72,1.42E-05,0.0431484,9.18E-09,5.41E-06,0.275564,0.681268,0.956832,0.000350405,0.00189139,0.00258348,,,0.000163594,0.00130897,0.00245794,,,,,,,4.45E-07,0.00579181,1.92E-10,,1.29E-09,2.80E-08,1.38E-07
73,1.28E-05,0.0431496,6.79E-09,4.43E-06,0.275564,0.681269,0.956833,0.000305273,0.00168334,0.00229851,,,0.000140482,0.0011605,0.00218697,,,,,,,3.42E-07,0.00524621,1.51E-10,,1.03E-09,2.31E-08,1.19E-07
74,1.15E-05,0.0431508,5.02E-09,3.63E-06,0.275564,0.68127,0.956834,0.00026595,0.00149805,0.00204473,,,0.000120632,0.00102881,0.00194566,,,,,,,2.63E-07,0.0047495,1.19E-10,,8.19E-10,1.91E-08,1.03E-07
